iso3c,country,year,gdp,gdp_forc20,gap_dollars,gap_relative
AFG,Afghanistan,2019,100,100,0,0
ALB,Albania,2019,100,100,0,0
DZA,Algeria,2019,100,100,0,0
ASM,American Samoa,2019,100,100,0,0
AND,Andorra,2019,100,100,0,0
AGO,Angola,2019,100,100,0,0
ATG,Antigua and Barbuda,2019,100,100,0,0
ARG,Argentina,2019,100,100,0,0
ARM,Armenia,2019,100,100,0,0
ABW,Aruba,2019,100,100,0,0
AUS,Australia,2019,100,100,0,0
AUT,Austria,2019,100,100,0,0
AZE,Azerbaijan,2019,100,100,0,0
BHS,Bahamas,2019,100,100,0,0
BHR,Bahrain,2019,100,100,0,0
BGD,Bangladesh,2019,100,100,0,0
BRB,Barbados,2019,100,100,0,0
BLR,Belarus,2019,100,100,0,0
BEL,Belgium,2019,100,100,0,0
BLZ,Belize,2019,100,100,0,0
BEN,Benin,2019,100,100,0,0
BMU,Bermuda,2019,100,100,0,0
BTN,Bhutan,2019,100,100,0,0
BOL,Bolivia,2019,100,100,0,0
BIH,Bosnia and Herzegovina,2019,100,100,0,0
BWA,Botswana,2019,100,100,0,0
BRA,Brazil,2019,100,100,0,0
BRN,Brunei,2019,100,100,0,0
BGR,Bulgaria,2019,100,100,0,0
BFA,Burkina Faso,2019,100,100,0,0
BDI,Burundi,2019,100,100,0,0
CPV,Cape Verde,2019,100,100,0,0
KHM,Cambodia,2019,100,100,0,0
CMR,Cameroon,2019,100,100,0,0
CAN,Canada,2019,100,100,0,0
CYM,Cayman Islands,2019,100,100,0,0
CAF,Central African Republic,2019,100,100,0,0
TCD,Chad,2019,100,100,0,0
CHL,Chile,2019,100,100,0,0
CHN,China,2019,100,100,0,0
COL,Colombia,2019,100,100,0,0
COM,Comoros,2019,100,100,0,0
COD,Democratic Republic of the Congo,2019,100,100,0,0
COG,Republic of the Congo,2019,100,100,0,0
CRI,Costa Rica,2019,100,100,0,0
CIV,Côte d'Ivoire,2019,100,100,0,0
HRV,Croatia,2019,100,100,0,0
CUB,Cuba,2019,100,100,0,0
CUW,Curaçao,2019,100,100,0,0
CYP,Cyprus,2019,100,100,0,0
CZE,Czech Republic,2019,100,100,0,0
DNK,Denmark,2019,100,100,0,0
DJI,Djibouti,2019,100,100,0,0
DMA,Dominica,2019,100,100,0,0
DOM,Dominican Republic,2019,100,100,0,0
ECU,Ecuador,2019,100,100,0,0
EGY,Egypt,2019,100,100,0,0
SLV,El Salvador,2019,100,100,0,0
GNQ,Equatorial Guinea,2019,100,100,0,0
EST,Estonia,2019,100,100,0,0
SWZ,Eswatini,2019,100,100,0,0
ETH,Ethiopia,2019,100,100,0,0
FRO,Faroe Islands,2019,100,100,0,0
FJI,Fiji,2019,100,100,0,0
FIN,Finland,2019,100,100,0,0
FRA,France,2019,100,100,0,0
