iso3c,Country,growthb40,growthtotal
CHN,China,8.38,7.12
IDN,Indonesia,5.06,4.93
MNG,Mongolia,1.11,0.77
MYS,Malaysia,7.01,4.97
PHL,Philippines,5.18,2.87
THA,Thailand,1.45,1.15
VNM,Viet Nam,5.15,5.26
ALB,Albania,8.81,6.96
ARM,Armenia,1.26,2.4
BLR,Belarus,0.71,-0.02
CZE,Czechia,3.53,2.82
EST,Estonia,7.98,7.2
GEO,Georgia,2.65,1.42
GRC,Greece,1.8,0.11
HRV,Croatia,5.47,4.28
HUN,Hungary,4.84,4.6
KAZ,Kazakhstan,0,-0.55
KGZ,Kyrgyzstan,3.15,2.44
LTU,Lithuania,6.33,7.43
LVA,Latvia,7.91,8.23
MDA,"Moldova, Republic of",1.9,0.32
MKD,North Macedonia,7.06,4.31
MNE,Montenegro,4.72,1.35
POL,Poland,6.01,4.02
ROU,Romania,10.02,9.96
RUS,Russian Federation,6.1,4.13
SRB,Serbia,3.89,1.48
SVK,Slovakia,-0.58,-1.08
SVN,Slovenia,2.2,1.52
TUR,Turkey,2.14,2.67
UKR,Ukraine,-0.59,0.14
XKX,Unknown,2.36,1.89
AUT,Austria,1.44,1.2
BEL,Belgium,0.44,0.42
CHE,Switzerland,-0.26,0.34
CYP,Cyprus,0.29,-0.78
DEU,Germany,0.54,1.14
DNK,Denmark,1.34,1.68
ESP,Spain,1.75,1.12
FIN,Finland,0.58,0.65
FRA,France,0.61,0.19
GBR,United Kingdom,1.76,2.42
IRL,Ireland,3.43,3.05
ISL,Iceland,3.15,3.31
ITA,Italy,0.48,1.04
LUX,Luxembourg,-0.08,0.33
MLT,Malta,3.8,3.74
NLD,Netherlands,1.53,1.89
NOR,Norway,0.44,1.02
PRT,Portugal,3.32,2
SWE,Sweden,1.39,1.98
ISR,Israel,4.18,2.55
USA,United States,1.27,1.64
ARG,Argentina,-1.53,-1.43
BOL,"Bolivia, Plurinational State of",1.43,-1.72
BRA,Brazil,-0.72,0.46
CHL,Chile,4.92,3.83
COL,Colombia,2.19,0.39
CRI,Costa Rica,1.07,0.14
DOM,Dominican Republic,5.19,4.25
ECU,Ecuador,1.26,0.47
HND,Honduras,1.11,0.89
PAN,Panama,5.29,3.87
PER,Peru,2.42,1.25
PRY,Paraguay,1.88,0.41
SLV,El Salvador,3.93,1.79
URY,Uruguay,2,1.43
EGY,Egypt,-2.5,-1.13
IRN,"Iran, Islamic Republic of",0.32,2.34
PSE,"Palestine, State of",-0.89,-0.55
TUN,Tunisia,5.36,3.38
BGD,Bangladesh,1.35,1.54
BTN,Bhutan,1.63,1.67
LKA,Sri Lanka,3.65,4.12
PAK,Pakistan,2.46,3.57
BEN,Benin,-5.19,0.07
BWA,Botswana,0.42,-3.3
ETH,Ethiopia,0.92,2.14
GHA,Ghana,-0.2,1.27
MUS,Mauritius,2.71,2.02
MWI,Malawi,3.05,1.57
NAM,Namibia,5.73,6.64
RWA,Rwanda,0.31,-0.16
SLE,Sierra Leone,2.67,2.86
SWZ,Eswatini,4.67,6.14
TGO,Togo,2.55,0.62
TZA,"Tanzania, United Republic of",-0.15,0.92
UGA,Uganda,-2.15,-0.96
ZMB,Zambia,-0.59,2.93
ZWE,Zimbabwe,-3.75,-3.5
