Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Product,Product Label,US$ at current prices in thousands,US$ at current prices in thousands Footnote,US$ at current prices in thousands Missing value,Percentage by destination,Percentage by destination Footnote,Percentage by destination Missing value,Percentage by product or group of product,Percentage by product or group of product Footnote,Percentage by product or group of product Missing value
2023,004,Afghanistan,008,Albania,02,Exports,TOTAL,TOTAL ALL PRODUCTS,0.236,Estimated,,3e-05,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,A00,All allocated products (SITC 0 to 8 + 961 + 971),0.236,Estimated,,3e-05,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,A12,Manufactured goods (SITC 5 to 8 less 667 and 68),0.236,Estimated,,0.0006,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,A09,Other manufactured goods (SITC 6 + 8 less 667 and 68),0.236,Estimated,,0.0009,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,8,Miscellaneous manufactured articles,0.236,Estimated,,0.00476,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,88,"Photo apparatus, optical goods, watches and clocks",0.236,Estimated,,0.33603,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,885,Watches & clocks,0.236,Estimated,,1.64426,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,TDRA,MANUFACTURED GOODS BY DEGREE OF MANUFACTURING,0.236,Estimated,,0.0006,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,TDRE,High-skill and technology-intensive manufactures,0.236,Estimated,,0.00273,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,TDRE3,"High-skill: Other, excluding electronics",0.236,Estimated,,0.00347,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,02,Exports,LDC08,Medium technology manufactures: engineering,0.236,Estimated,,0.00456,Estimated,,100.0,Estimated,
2023,004,Afghanistan,008,Albania,01,Imports,TOTAL,TOTAL ALL PRODUCTS,25.199,Estimated,,0.00042,Estimated,,100.0,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,TOTAL,TOTAL ALL PRODUCTS,7.723,Estimated,,0.00087,Estimated,,100.0,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A00,All allocated products (SITC 0 to 8 + 961 + 971),7.722,Estimated,,0.00087,Estimated,,99.98705,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A11,"Primary commodities, precious stones and non-monetary gold (SITC 0 + 1 + 2 + 3 + 4 + 68 + 667+ 971)",7.356,Estimated,,0.00087,Estimated,,95.24796,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A20,Primary commodities (SITC 0 + 1 + 2 + 3 + 4 + 68),7.356,Estimated,,0.0009,Estimated,,95.24796,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A13,"Primary commodities, excluding fuels (SITC 0 + 1 + 2 + 4 + 68)",7.356,Estimated,,0.00102,Estimated,,95.24796,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A01,All food items (SITC 0 + 1 + 22 + 4),6.012,Estimated,,0.0011,Estimated,,77.8454,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A14,"Food, basic (SITC 0 + 22 + 4)",6.012,Estimated,,0.00112,Estimated,,77.8454,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A15,"Food, basic excluding tea, coffee, cocoa and spices (SITC 0 + 22 + 4 less 07)",6.012,Estimated,,0.00123,Estimated,,77.8454,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A02,"Agricultural raw materials (SITC 2 less 22, 27 and 28)",1.344,Estimated,,0.00091,Estimated,,17.40256,Estimated,
2023,004,Afghanistan,012,Algeria,02,Exports,A12,Manufactured goods (SITC 5 to 8 less 667 and 68),0.366,Estimated,,0.00093,Estimated,,4.73909,Estimated,
