Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Product,Product Label,US$ at current prices in thousands
2019,1410,Developing economies: Africa,156,China,2,Exports,TOTAL,TOTAL ALL PRODUCTS,70791600.03
2019,1410,Developing economies: Africa,356,India,2,Exports,TOTAL,TOTAL ALL PRODUCTS,31653488.97
2019,1410,Developing economies: Africa,724,Spain,2,Exports,TOTAL,TOTAL ALL PRODUCTS,28881487.03
2019,1410,Developing economies: Africa,250,France,2,Exports,TOTAL,TOTAL ALL PRODUCTS,25741415.52
2019,1410,Developing economies: Africa,840,United States,2,Exports,TOTAL,TOTAL ALL PRODUCTS,25036331.1
,,,,,,,,,
2019,1420,Developing economies: Americas,840,United States,2,Exports,TOTAL,TOTAL ALL PRODUCTS,460418051.2
2019,1420,Developing economies: Americas,156,China,2,Exports,TOTAL,TOTAL ALL PRODUCTS,129238927.8
2019,1420,Developing economies: Americas,76,Brazil,2,Exports,TOTAL,TOTAL ALL PRODUCTS,26332012.71
2019,1420,Developing economies: Americas,124,Canada,2,Exports,TOTAL,TOTAL ALL PRODUCTS,25412936.16
2019,1420,Developing economies: Americas,392,Japan,2,Exports,TOTAL,TOTAL ALL PRODUCTS,20462442.65
,,,,,,,,,
2019,1430,Developing economies: Asia,840,United States,2,Exports,TOTAL,TOTAL ALL PRODUCTS,802567327.5
2019,1430,Developing economies: Asia,156,China,2,Exports,TOTAL,TOTAL ALL PRODUCTS,794310264.6
2019,1430,Developing economies: Asia,344,"China, Hong Kong SAR",2,Exports,TOTAL,TOTAL ALL PRODUCTS,437439052.9
2019,1430,Developing economies: Asia,392,Japan,2,Exports,TOTAL,TOTAL ALL PRODUCTS,386440227.3
2019,1430,Developing economies: Asia,356,India,2,Exports,TOTAL,TOTAL ALL PRODUCTS,271705136.3
,,,,,,,,,
2020,1410,Developing economies: Africa,156,China,2,Exports,TOTAL,TOTAL ALL PRODUCTS,55928042.43
2020,1410,Developing economies: Africa,784,United Arab Emirates,2,Exports,TOTAL,TOTAL ALL PRODUCTS,24974378.54
2020,1410,Developing economies: Africa,356,India,2,Exports,TOTAL,TOTAL ALL PRODUCTS,20767349.4
2020,1410,Developing economies: Africa,724,Spain,2,Exports,TOTAL,TOTAL ALL PRODUCTS,19738816.63
2020,1410,Developing economies: Africa,250,France,2,Exports,TOTAL,TOTAL ALL PRODUCTS,18833061.91
,,,,,,,,,
2020,1420,Developing economies: Americas,840,United States,2,Exports,TOTAL,TOTAL ALL PRODUCTS,414386624.1
2020,1420,Developing economies: Americas,156,China,2,Exports,TOTAL,TOTAL ALL PRODUCTS,132429213.8
2020,1420,Developing economies: Americas,124,Canada,2,Exports,TOTAL,TOTAL ALL PRODUCTS,22396173.18
2020,1420,Developing economies: Americas,76,Brazil,2,Exports,TOTAL,TOTAL ALL PRODUCTS,21568107.95
