Region,Year,Intra (in thousands of USD),Extra (in thousands of USD),Total (in thousands of USD)
Africa,2019,81178777,402743364,483922141
Africa,2020,69636591,329025066,398661657
Africa,2021,84358590,479211163,563569753
Africa,2022,97484276,565006901,662491177
Africa,2023,94802926,502363908,597166834
Asia,2019,4639513009,3155483622,7794996631
Asia,2020,4376053829,3096835961,7472889790
Asia,2021,5598795926,3944015617,9542811543
Asia,2022,6215277816,4417538432,10632816248
Asia,2023,5728519942,4159461212,9887981154
Europe,2019,4821546543,2274492326,7096038869
Europe,2020,4480827034,2100631607,6581458641
Europe,2021,5590268541,2555178071,8145446612
Europe,2022,6125714226,2816976149,8942690375
Europe,2023,5908818853,2757260048,8666078901
Oceania,2019,18764938,305187661,323952599
Oceania,2020,16803835,281514439,298318274
Oceania,2021,17889159,382009147,399898306
Oceania,2022,19729371,454063120,473792491
Oceania,2023,19060401,408275623,427336024
Northern America,2019,628673236 ,1461888547 ,2090561783 
Northern America,2020,539926270 ,1279272641 ,1819198911 
Northern America,2021,685589348 ,1569855453 ,2255444801 
Northern America,2022,814386920 ,1845286553 ,2659673473 
Northern America,2023,793020377 ,1793024269 ,2586044646 
Latin America and the Caribbean,2019,151935787 ,896323948 ,1048259735 
Latin America and the Caribbean,2020,125896877 ,822262448 ,948159326 
Latin America and the Caribbean,2021,170744265 ,1034516972 ,1205261237 
Latin America and the Caribbean,2022,209624209 ,1202409291 ,1412033500 
Latin America and the Caribbean,2023,202252431 ,1193053147 ,1395305578 
