Year,importer,exporter,total_import
2023,Afghanistan,Iran (Islamic Republic of),17346748.288
2023,Afghanistan,China,9528326.261
2023,Afghanistan,Pakistan,8432324.55
2023,Albania,Italy,21172338.672
2023,Albania,China,10431691.024
2023,Albania,Turkey,9121192.368
2023,Algeria,China,98945232.075
2023,Algeria,France,38117623.389
2023,Algeria,Brazil,36508434.425
2023,Andorra,Spain,15369699.664
2023,Andorra,France,2802489.063
2023,Andorra,Germany,1060934.05
2023,Angola,China,42000026.17
2023,Angola,Portugal,18776244.342
2023,Angola,United Arab Emirates,11692687.906
2023,Anguilla,United States of America,1143517.25
2023,Anguilla,SIDS (Small island developing States) (UN-OHRLLS),853453.817
2023,Anguilla,Chile,790136.774
2023,Argentina,Brazil,201859159.592
2023,Argentina,China,166117811.614
2023,Argentina,United States of America,90478601.916
2023,Armenia,Russia,34469645.547
2023,Armenia,China,13229061.14
2023,Armenia,Vietnam,11472261.781
2023,Aruba,United States of America,6744109.5
2023,Aruba,Netherlands,2119787.391
2023,Aruba,Venezuela,1794336.405
2023,Australia,China,810702580.836
2023,Australia,United States of America,370811673.681
2023,Australia,Japan,209359124.864
2023,Austria,Germany,781300169.415
2023,Austria,China,186504830.715
2023,Austria,Italy,158287447.787
2023,Azerbaijan,China,34691685.661
2023,Azerbaijan,Russia,34230707.292
2023,Azerbaijan,Turkey,25707088.997
2023,Bahamas,United States of America,25112027.666
2023,Bahamas,Cote d'Ivoire,2355890.205
2023,Bahamas,Russia,2017102.468
2023,Bahrain,Saudi Arabia,44036777.049
2023,Bahrain,United Arab Emirates,17027403.299
2023,Bahrain,China,14630798.673
2023,Bangladesh,China,197807486.798
2023,Bangladesh,India,109981497.73
2023,Bangladesh,Indonesia,46854826.477
2023,Barbados,United States of America,8576532.359
2023,Barbados,SIDS (Small island developing States) (UN-OHRLLS),5484964.208
2023,Barbados,United Kingdom,1397979.225
2023,Belarus,Russia,310596828.83
2023,Belarus,China,46906250.311
2023,Belarus,Germany,16024941.643
2023,Belgium,Netherlands,941294344.853
2023,Belgium,Germany,597683697.192
2023,Belgium,France,550898024.216
2023,Belize,United States of America,5631284.089
2023,Belize,China,2279123.223
2023,Belize,Mexico,1457356.386
2023,Benin,China,14502425.134
2023,Benin,India,10833067.882
2023,Benin,France,3589052.319
2023,Bermuda,United States of America,4689502.423
2023,Bermuda,South Korea,2118088.985
2023,Bermuda,Norway,2019300.553
2023,Bhutan,India,12181416.15
2023,Bhutan,SIDS (Small island developing States) (UN-OHRLLS),634619.234
2023,Bhutan,Singapore,634558.213
2023,Bolivia (Plurinational State of),Brazil,24801525.074
2023,Bolivia (Plurinational State of),China,23635773.863
2023,Bolivia (Plurinational State of),Chile,14190580.8
2023,Botswana,South Africa,45486124.918
2023,Botswana,Namibia,7599638.119
2023,Botswana,Canada,2615136.092
2023,Brazil,China,639037015.222
2023,Brazil,United States of America,436229930.96
2023,Brazil,Germany,155671072.159
2023,Brunei,Malaysia,17027537.866
2023,Brunei,China,8772668.252
2023,Brunei,United Arab Emirates,8169399.004
2023,Bulgaria,Germany,72427232.836
2023,Bulgaria,Turkey,49309620.488
2023,Bulgaria,Romania,43649927.144
2023,Burkina Faso,Cote d'Ivoire,10930351.726
2023,Burkina Faso,China,8818104.318
2023,Burkina Faso,France,4987079.369
2023,Burundi,United Arab Emirates,2720913.871
2023,Burundi,Tanzania,2097263.555
2023,Burundi,China,1877256.943
2023,Cabo Verde,Portugal,3726751.617
2023,Cabo Verde,Netherlands,1091263.822
2023,Cabo Verde,Spain,912565.773
2023,Cambodia,China,114534466.213
2023,Cambodia,Thailand,43978199.152
2023,Cambodia,Vietnam,40638606.445
2023,Cameroon,China,19154741.791
2023,Cameroon,Russia,6694661.934
2023,Cameroon,France,6291768.792
2023,Canada,United States of America,3048699607.313
2023,Canada,China,753807363.697
2023,Canada,Mexico,402467791.812
2023,Chad,China,7389954.646
2023,Chad,Cameroon,3753734.341
2023,Chad,Turkey,1930026.422
2023,Chile,China,223117105.414
2023,Chile,United States of America,178020046.544
2023,Chile,Brazil,93890178.647
2023,China,Taiwan,2360300900.871
2023,China,Australia,1890001316.56
2023,China,United States of America,1884458102.319
2023,Hong Kong,China,3045654436.308
2023,Hong Kong,Taiwan,805418649.908
2023,Hong Kong,SIDS (Small island developing States) (UN-OHRLLS),521383802.826
2023,Macao,China,55139626.815
2023,Macao,France,30644992.078
2023,Macao,Italy,22019331.289
2023,Taiwan,China,896210778.704
2023,Taiwan,Japan,591279756.451
2023,Taiwan,United States of America,455787710.025
2023,Colombia,United States of America,178521356.273
2023,Colombia,China,153014150.392
2023,Colombia,Brazil,47295682.508
2023,Comoros,United Arab Emirates,1466316.059
2023,Comoros,China,459040.652
2023,Comoros,France,420148.51
