Year,importer,total_import
2023,Afghanistan,67235391.221
2023,Albania,93599134.216
2023,Algeria,498243634.625
2023,Andorra,22527734.362
2023,Angola,185247670.596
2023,Anguilla,3530992.116
2023,Argentina,830693894.089
2023,Armenia,137509382.968
2023,Aruba,15291536.587
2023,Australia,3404086964.409
2023,Austria,2400417446.446
2023,Azerbaijan,190270707.582
2023,Bahamas,42475524.59
2023,Bahrain,172155306.893
2023,Bangladesh,816894514.859
2023,Barbados,24512351.444
2023,Belarus,470673693.459
2023,Belgium,4649475248.626
2023,Belize,14347902.408
2023,Benin,61389827.308
2023,Bermuda,12061731.896
2023,Bhutan,15798730.104
2023,Bolivia (Plurinational State of),124677407.801
2023,Botswana,69167917.78
2023,Brazil,2848893128.288
2023,Brunei,87588895.824
2023,Bulgaria,598923922.074
2023,Burkina Faso,62598472.887
2023,Burundi,12901424.652
2023,Cabo Verde,10462135.19
2023,Cambodia,292637654.933
2023,Cameroon,96480312.272
2023,Canada,6290312021.964
2023,Chad,24670065.929
2023,Chile,923444327.058
2023,China,29612007832.02
2023,Hong Kong,8574876056.574
2023,Macao,198357615.23
2023,Taiwan,4348324163.909
2023,Colombia,710157191.304
2023,Comoros,4027971.621
2023,Congo,56462675.074
2023,Costa Rica,254593893.114
2023,Cote d'Ivoire,216751116.62
2023,Croatia,456776939.343
2023,Cuba,113050487.513
2023,Curacao,20460133.68
2023,Cyprus,147381238.026
2023,Czechia,2609178273.688
2023,North Korea,30623308.771
2023,Dem. Rep. Congo,132214032.384
2023,Denmark,1404340141.176
2023,Djibouti,43648886.819
2023,Dominica,3660135.797
2023,Dominican Rep.,295443994.117
2023,Ecuador,341991897.928
2023,Egypt,941617226.063
2023,El Salvador,173380720.317
2023,Eq. Guinea,32835142.099
2023,Eritrea,5687214.375
2023,Estonia,253198459.122
2023,eSwatini,20795665.186
2023,Ethiopia,202424673.22
2023,Falkland Is.,2134039.319
2023,Fiji,49283941.958
2023,Finland,908042974.038
2023,France,8636493352.241
2023,French Guiana,
2023,Fr. Polynesia,27818416.568
2023,Gabon,77663271.171
2023,Gambia,13939525.468
2023,Georgia,176442456.428
2023,Germany,15803834155.094
2023,Ghana,155120721.856
2023,Greece,933778221.087
2023,Greenland,9909868.235
2023,Grenada,7106266.665
2023,Guadeloupe,
2023,Guam,22811937.915
2023,Guatemala,337415012.691
2023,Guinea,53260815.379
2023,Guinea-Bissau,5324379.562
2023,Guyana,78171118.694
2023,Haiti,45077738.376
2023,Honduras,200759071.388
2023,Hungary,1689323766.267
2023,Iceland,109440272.592
2023,India,7516454247.832
2023,Indonesia,2867523028.058
2023,Indonesia (...2002),
2023,Iran (Islamic Republic of),850128819.268
2023,Iraq,753984430.506
2023,Ireland,1723593529.544
2023,Israel,942993630.229
2023,Italy,7080655651.417
2023,Jamaica,87397684.607
2023,Japan,8405613305.63
2023,Jordan,279234982.449
2023,Kazakhstan,702045740.648
2023,Kenya,207179291.555
2023,Kiribati,5467414.883
2023,Kuwait,454179223.557
2023,Kyrgyzstan,140802304.691
2023,Laos,79157117.105
2023,Latvia,264079570.496
2023,Lebanon,195974693.088
2023,Lesotho,19438492.411
2023,Liberia,19747858.046
2023,Libya,134978014.808
2023,Lithuania,515204233.941
2023,Luxembourg,282704030.649
2023,Madagascar,55554616.215
2023,Malawi,34242316.356
2023,Malaysia,3663325286.164
2023,Maldives,45864494.896
2023,Mali,68294323.35
2023,Malta,89056432.495
2023,Martinique,
2023,Mauritania,59489335.629
2023,Mauritius,71508620.565
2023,Mayotte,
2023,Mexico,6381368495.601
2023,Micronesia (Federated States of),5349366.28
2023,Mongolia,103004471.099
2023,Montenegro,44017874.748
2023,Montserrat,543800.456
2023,Morocco,797065778.242
2023,Mozambique,117489081.137
2023,Myanmar,243156334.272
2023,Namibia,81233508.844
2023,Nauru,1027721.844
2023,Nepal,135996207.593
2023,Netherlands,9312748916.647
2023,New Caledonia,40743171.031
2023,New Zealand,617525323.808
2023,Nicaragua,119562703.919
2023,Niger,40888716.587
2023,Nigeria,616055481.4
2023,Niue,89170.35800000001
2023,Norfolk Island,
2023,North Macedonia,134957648.588
2023,Norway,1108575669.123
2023,Oman,435878318.137
2023,Pakistan,561266037.237
2023,Palau,3227961.365
2023,Panama,361576363.068
2023,Papua New Guinea,78693866.877
2023,Paraguay,184629855.154
2023,Peru,581718423.843
2023,Philippines,1686021705.522
2023,Poland,3783562006.86
2023,Portugal,1290992664.647
2023,Qatar,358020875.369
2023,South Korea,7372637611.194
2023,Moldova,94749464.433
2023,Romania,1484735779.271
2023,Russia,3415924801.814
2023,Rwanda,44291832.577
2023,SIDS (Small island developing States) (UN-OHRLLS),6016387057.778
2023,SIDS: Pacific,4914275650.335
2023,Saint Helena,447535.32
2023,Saint Lucia,9929666.608
2023,Samoa,7838995.766
2023,Saudi Arabia,2419456612.227
2023,Senegal,121874028.268
2023,Serbia,390994534.098
2023,Seychelles,17168915.52
2023,Sierra Leone,22306182.924
2023,Singapore,4605754929.834
2023,Sint Maarten,12414604.632
2023,Slovakia,1168527856.34
2023,Slovenia,681143955.533
2023,Somalia,49248861.795
2023,South Africa,1117996678.807
2023,S. Sudan,13890658.797
2023,Spain,5023869489.934
2023,Sri Lanka,196374893.122
2023,State of Palestine,96922869.167
2023,Sudan,84938975.122
2023,Sudan (...2011),
2023,Suriname,19955575.613
2023,Sweden,2115345698.163
2023,Switzerland,4067620144.329
2023,Syria,68994599.19
2023,Tajikistan,65867497.348
2023,Thailand,3470730626.722
2023,Timor-Leste,11903557.505
2023,Togo,32311285.028
2023,Tonga,4398477.129
2023,Tunisia,285473241.392
2023,Turkey,3691821901.521
2023,Turkmenistan,46050194.22
2023,Tuvalu,540704.746
2023,Uganda,134717931.697
2023,Ukraine,667783227.975
2023,United Arab Emirates,5297072721.479
2023,United Kingdom,8627891466.526
2023,Tanzania,167297027.801
2023,United States of America,35822290132.898
2023,Uruguay,140443386.37
2023,Uzbekistan,423015765.969
2023,Vanuatu,7473460.065
2023,Venezuela,120150646.163
2023,Vietnam,3861257412.547
2023,Western Sahara,
2023,Yemen,58925673.356
2023,Zambia,118969285.772
2023,Zimbabwe,109195985.208
